location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,Puissance Fiscale
Ariana,11 hours ago,44000.0,Gris,147999.0,Avec kilométrage,1.3,2022.0,Automatique,Mercedes-Benz,Classe A,Autres,Hybride essence,6.0
Gafsa,11 hours ago,180000.0,Doré,24000.0,RS,1.6,2002.0,Manuelle,Peugeot,307,Compacte,Essence,8.0
Ariana,11 hours ago,49000.0,Blanc,42800.0,Avec kilométrage,1.0,2021.0,Manuelle,Hyundai,I 10,Utilitaire,Essence,4.0
Sousse,11 hours ago,125000.0,Noir,90000.0,Nouveau,1.6,2019.0,Automatique,Mercedes-Benz,Classe A,Berline,Diesel,6.0
La Manouba,12 hours ago,177000.0,Blanc,31000.0,Avec kilométrage,1.5,2020.0,Manuelle,Dacia,Dokker,Utilitaire,Diesel,6.0
La Manouba,12 hours ago,218000.0,Gris,19200.0,Avec kilométrage,1.2,2006.0,Manuelle,Volkswagen,Polo,Compacte,Essence,5.0
Gabès,12 hours ago,47000.0,Blanc,33000.0,Avec kilométrage,1.4,2018.0,Manuelle,Fiat,Doblo,Utilitaire,Diesel,6.0
Bizerte,12 hours ago,152000.0,Marron,26700.0,Avec kilométrage,1.2,2011.0,Manuelle,Citroen,C3,Berline,Essence,4.0
Monastir,12 hours ago,146000.0,Gris,28000.0,Avec kilométrage,1.2,2017.0,Manuelle,Hyundai,Grand i10,Compacte,Essence,5.0
Tunis,12 hours ago,150000.0,Noir,53100.0,Avec kilométrage,1.6,2017.0,Automatique,Ssangyong,Tivoli,4 x 4,Essence,7.0
Tunis,12 hours ago,170000.0,Gris,29130.0,Avec kilométrage,2.0,2021.0,Automatique,Toyota,RAV 4,4 x 4,Essence,9.0
Tunis,12 hours ago,60000.0,Noir,29130.0,Nouveau,2.0,2021.0,Automatique,Mercedes-Benz,Classe GLC,4 x 4,Hybride essence,12.0
Tunis,12 hours ago,40000.0,Blanc,29130.0,Nouveau,1.5,2023.0,Automatique,Mercedes-Benz,Classe C,Berline,Essence,9.0
Tunis,12 hours ago,160000.0,Noir,15000.0,Avec kilométrage,1.6,2005.0,Manuelle,Renault,Scenic,Monospace,Diesel,5.0
Ben Arous,12 hours ago,320000.0,Gris,16000.0,Avec kilométrage,1.2,2004.0,Manuelle,Volkswagen,Polo,Autres,Essence,4.0
Bizerte,12 hours ago,85000.0,Rouge,36900.0,Avec kilométrage,1.2,2018.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
Sfax,12 hours ago,250000.0,Gris,19999.0,Avec kilométrage,1.4,2007.0,Manuelle,Peugeot,206,Berline,Essence,6.0
Nabeul,13 hours ago,29000.0,Marron,135000.0,Avec kilométrage,2.0,2018.0,Automatique,Mercedes-Benz,Classe GLA,4 x 4,Essence,12.0
Sousse,13 hours ago,160000.0,Rouge,12700.0,Nouveau,1.4,1997.0,Manuelle,Renault,Clio,Compacte,Essence,7.0
Tunis,13 hours ago,119373.0,Blanc,39000.0,Avec kilométrage,3.0,2021.0,Manuelle,Renault,Symbol,Autres,Essence,5.0
Ariana,13 hours ago,190000.0,Blanc,34000.0,Avec kilométrage,1.4,2020.0,Manuelle,Dacia,Dokker,Utilitaire,Diesel,6.0
Tunis,13 hours ago,211000.0,Gris,47000.0,Nouveau,1.7,2014.0,Automatique,Kia,Carens,4 x 4,Diesel,8.0
Ben Arous,13 hours ago,46371.0,Noir,37000.0,Avec kilométrage,1.5,2020.0,Manuelle,Geely,LC,Berline,Essence,6.0
Ben Arous,13 hours ago,70000.0,Argent,82000.0,Avec kilométrage,3.5,2010.0,Automatique,Mercedes-Benz,Classe E,Autres,Essence,19.0
Ariana,13 hours ago,246000.0,Noir,41500.0,RS,2.0,2008.0,Manuelle,Volvo,XC70,Berline,Diesel,8.0
Ben Arous,14 hours ago,88500.0,Blanc,50000.0,Avec kilométrage,1.3,2021.0,Manuelle,Fiat,Doblo,Utilitaire,Diesel,5.0
Nabeul,14 hours ago,186000.0,Gris,52000.0,Avec kilométrage,1.0,2020.0,Automatique,Ford,ECOSPORT,Berline,Essence,6.0
Nabeul,14 hours ago,217000.0,Gris,21500.0,Avec kilométrage,1.2,2010.0,Manuelle,Renault,Symbol,Berline,Essence,5.0
Ariana,14 hours ago,3000.0,Blanc,266000.0,Nouveau,3.0,2024.0,Automatique,Isuzu,D-MAX,4 x 4,Diesel,8.0
Nabeul,14 hours ago,23000.0,Gris,120000.0,Avec kilométrage,3.0,2017.0,Automatique,Kia,Sportage,4 x 4,Diesel,10.0
Ben Arous,14 hours ago,109000.0,Gris,89998.0,Avec kilométrage,1.6,2021.0,Automatique,Kia,Sportage,Monospace,Diesel,7.0
Sousse,14 hours ago,105000.0,Blanc,39500.0,Avec kilométrage,1.6,2020.0,Manuelle,Peugeot,Partner,Compacte,Diesel,6.0
Sousse,14 hours ago,115000.0,Bleu,55000.0,Nouveau,1.6,2018.0,Automatique,Ssangyong,Korando,Berline,Essence,8.0
Sfax,14 hours ago,300000.0,Gris,16800.0,Avec kilométrage,1.6,2003.0,Manuelle,Renault,Laguna,Berline,Essence,7.0
Siliana,14 hours ago,320000.0,Blanc,14000.0,Avec kilométrage,1.5,1996.0,Manuelle,Daewoo,Nexia,Berline,Essence,7.0
Tunis,14 hours ago,230000.0,Blanc,37000.0,Avec kilométrage,1.6,2011.0,Automatique,Hyundai,Accent,Berline,Essence,7.0
Ben Arous,14 hours ago,127000.0,Rouge,33500.0,Avec kilométrage,1.0,2017.0,Manuelle,Toyota,Yaris,Compacte,Essence,4.0
Ariana,14 hours ago,54000.0,Blanc,128000.0,Avec kilométrage,1.5,2021.0,Automatique,BMW,Serie 4,Berline,Essence,7.0
Nabeul,15 hours ago,380000.0,Bleu,13000.0,Non dédouanné,4.0,1990.0,Manuelle,Fiat,Palio,Compacte,Essence,5.0
Ariana,15 hours ago,143000.0,Marron,34900.0,Avec kilométrage,1.2,2013.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
La Manouba,15 hours ago,79900.0,Blanc,81500.0,Avec kilométrage,2.4,2017.0,Automatique,Honda,CR-V,4 x 4,Essence,11.0
Ariana,15 hours ago,238000.0,Bleu,62500.0,Avec kilométrage,2.2,2009.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,9.0
Ariana,15 hours ago,178000.0,Noir,36500.0,Avec kilométrage,1.6,2010.0,Automatique,BMW,Serie 1,Compacte,Essence,7.0
Tunis,15 hours ago,53000.0,Noir,195000.0,Nouveau,1.6,2022.0,Automatique,Mercedes-Benz,Classe C,Compacte,Essence,9.0
Tunis,15 hours ago,155000.0,Blanc,34000.0,Avec kilométrage,1.4,2010.0,Manuelle,Volkswagen,Polo,Compacte,Essence,5.0
Bizerte,15 hours ago,176000.0,Blanc,59000.0,Nouveau,2.5,2020.0,Manuelle,Isuzu,D-MAX,Autres,Diesel,8.0
Siliana,15 hours ago,155000.0,Rouge,36500.0,Avec kilométrage,1.2,2014.0,Manuelle,Kia,Rio,Compacte,Essence,5.0
Ariana,15 hours ago,233000.0,Gris,25500.0,Avec kilométrage,1.3,2016.0,Manuelle,Fiat,Fiorino,Utilitaire,Diesel,5.0
Tunis,16 hours ago,209759.0,Camel,34000.0,Avec kilométrage,1.4,2015.0,Manuelle,Volkswagen,Polo,Berline,Essence,5.0
Ariana,16 hours ago,226000.0,Gris,32900.0,Avec kilométrage,1.2,2015.0,Manuelle,Seat,Ibiza,Compacte,Essence,5.0
Sousse,16 hours ago,65000.0,Noir,92000.0,Avec kilométrage,4.0,2022.0,Manuelle,Volkswagen,Golf 7,Autres,Essence,7.0
Monastir,16 hours ago,220000.0,Blanc,26500.0,Nouveau,1.6,2010.0,Manuelle,Citroen,Berlingo,Berline,Diesel,6.0
La Manouba,16 hours ago,274000.0,Gris,51000.0,RS,3.0,2008.0,Automatique,Mercedes-Benz,Classe C,Berline,Diesel,11.0
Gabès,16 hours ago,80000.0,Rouge,38000.0,Avec kilométrage,1.2,2019.0,Manuelle,Hyundai,I 10,Berline,Essence,4.0
Ariana,16 hours ago,239000.0,Rouge,42900.0,Avec kilométrage,1.6,2008.0,Manuelle,BMW,Serie 3,Berline,Essence,7.0
Sfax,16 hours ago,340000.0,Noir,19000.0,Nouveau,1.0,2006.0,Manuelle,Fiat,Palio,Compacte,Essence,4.0
